epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.525,4.71752,21.9404,3.53592,0,0,0,0,6.88827,3.59744,4.6743,0.000659004,0.000659004,0.000659004
2,272.526,2.60634,5.81855,1.90912,0.24756,0.18959,0.12769,0.03302,2.93763,2.3992,1.90864,0.00131255,0.00131255,0.00131255
3,409.214,2.37746,3.83835,1.69347,0.26425,0.27509,0.15668,0.03694,2.88367,4.37309,1.80332,0.00195289,0.00195289,0.00195289
4,543.485,2.27621,3.16717,1.57402,0.21481,0.29368,0.13103,0.03144,2.9428,2.43895,1.84407,0.0019406,0.0019406,0.0019406
5,678.83,2.21485,2.7573,1.52403,0.25166,0.28625,0.15737,0.04004,2.88951,2.38113,1.67418,0.0019208,0.0019208,0.0019208
6,812.978,2.17459,2.55794,1.4915,0.33171,0.38662,0.26864,0.07703,2.5874,2.06357,1.5705,0.001901,0.001901,0.001901
7,946.972,2.14382,2.28709,1.45326,0.35771,0.33829,0.2462,0.0578,2.81072,2.05672,1.67624,0.0018812,0.0018812,0.0018812
8,1075.03,2.08247,2.1334,1.43287,0.37446,0.41614,0.29751,0.06926,2.76916,2.13131,1.74026,0.0018614,0.0018614,0.0018614
9,1203.54,2.06953,2.10219,1.41418,0.29461,0.36431,0.23231,0.05365,2.91626,2.23685,1.73632,0.0018416,0.0018416,0.0018416
10,1334.75,2.07436,2.03965,1.40989,0.26657,0.29995,0.16584,0.03537,3.05671,2.0253,1.87848,0.0018218,0.0018218,0.0018218
11,1465.97,2.02664,1.98969,1.41341,0.30406,0.33457,0.19927,0.04578,2.95857,2.15309,1.78807,0.001802,0.001802,0.001802
12,1596.95,2.03474,1.92918,1.39858,0.39103,0.32226,0.26132,0.05631,2.95981,1.86989,1.72114,0.0017822,0.0017822,0.0017822
13,1730.33,2.00505,1.90648,1.37289,0.44334,0.45725,0.3726,0.10432,2.65194,1.78377,1.54118,0.0017624,0.0017624,0.0017624
14,1861.29,2.00357,1.86096,1.37893,0.37504,0.37918,0.27075,0.06052,2.86074,1.84957,1.63429,0.0017426,0.0017426,0.0017426
15,1992.23,1.98997,1.87689,1.36996,0.45864,0.45982,0.37612,0.11004,2.62776,1.95071,1.52016,0.0017228,0.0017228,0.0017228
16,2120.36,1.98153,1.79654,1.35471,0.42837,0.40952,0.28635,0.06692,2.82912,1.83404,1.64749,0.001703,0.001703,0.001703
17,2247.9,1.96115,1.8153,1.36037,0.47649,0.48385,0.41562,0.10401,2.5797,1.80683,1.50899,0.0016832,0.0016832,0.0016832
18,2375.58,1.95498,1.73944,1.34198,0.4266,0.49231,0.40115,0.11677,2.52477,1.80665,1.48277,0.0016634,0.0016634,0.0016634
19,2502.02,1.93799,1.74446,1.32502,0.42394,0.44981,0.33464,0.08216,2.70656,2.27596,1.59742,0.0016436,0.0016436,0.0016436
20,2634.03,1.93252,1.70741,1.33135,0.5024,0.49442,0.44079,0.12908,2.50403,1.6886,1.4876,0.0016238,0.0016238,0.0016238
21,2760.39,1.93404,1.7198,1.32347,0.3839,0.42751,0.2819,0.05867,3.01481,2.65407,1.76232,0.001604,0.001604,0.001604
22,2891.52,1.92345,1.71846,1.32931,0.40086,0.46512,0.32523,0.0741,2.80705,1.84075,1.6166,0.0015842,0.0015842,0.0015842
23,3022.5,1.9098,1.72269,1.32064,0.40853,0.49043,0.35063,0.07615,2.79969,1.9892,1.64056,0.0015644,0.0015644,0.0015644
24,3149.3,1.89459,1.66938,1.31575,0.50853,0.51673,0.45306,0.13946,2.48165,2.13655,1.51219,0.0015446,0.0015446,0.0015446
25,3276.5,1.909,1.64376,1.3232,0.47551,0.43866,0.38678,0.09599,2.63354,1.73243,1.53788,0.0015248,0.0015248,0.0015248
26,3402.76,1.91226,1.59816,1.31673,0.57485,0.44736,0.45418,0.1182,2.68582,1.85128,1.55441,0.001505,0.001505,0.001505
27,3530.63,1.88956,1.66369,1.29287,0.5474,0.53903,0.51144,0.16835,2.31904,1.73504,1.42887,0.0014852,0.0014852,0.0014852
28,3658.47,1.89983,1.67,1.32153,0.42572,0.50558,0.36736,0.08971,2.6569,2.37917,1.5349,0.0014654,0.0014654,0.0014654
29,3785.29,1.85681,1.59022,1.29999,0.46437,0.42007,0.36107,0.08061,2.8511,1.85313,1.65967,0.0014456,0.0014456,0.0014456
30,3917.72,1.88191,1.60027,1.3053,0.49071,0.47955,0.40256,0.09271,2.72891,1.60138,1.63933,0.0014258,0.0014258,0.0014258
31,4045.01,1.87813,1.58006,1.30524,0.47879,0.54297,0.43246,0.10629,2.60215,1.72694,1.50838,0.001406,0.001406,0.001406
32,4173.74,1.883,1.56405,1.28823,0.49619,0.50558,0.42909,0.10422,2.66293,1.87031,1.56027,0.0013862,0.0013862,0.0013862
33,4302.1,1.85439,1.59844,1.27975,0.43013,0.4684,0.32454,0.07727,2.76313,1.80284,1.59403,0.0013664,0.0013664,0.0013664
34,4429.51,1.85412,1.56139,1.28848,0.5383,0.59851,0.49053,0.12403,2.5726,2.03919,1.48524,0.0013466,0.0013466,0.0013466
35,4560.5,1.82466,1.56789,1.28145,0.55474,0.55019,0.48522,0.12753,2.54651,1.84518,1.46872,0.0013268,0.0013268,0.0013268
36,4696.62,1.83576,1.53597,1.28289,0.42414,0.53665,0.37385,0.0955,2.65429,1.82485,1.51814,0.001307,0.001307,0.001307
37,4825.88,1.829,1.52778,1.28862,0.51332,0.54275,0.44088,0.10071,2.65814,1.76947,1.53698,0.0012872,0.0012872,0.0012872
38,4959.28,1.79181,1.52104,1.26365,0.54693,0.543,0.45995,0.11204,2.61407,1.74942,1.50072,0.0012674,0.0012674,0.0012674
39,5085.4,1.83868,1.48456,1.26086,0.40262,0.51673,0.34795,0.08229,2.69296,1.73419,1.54525,0.0012476,0.0012476,0.0012476
40,5211.27,1.82731,1.55361,1.28719,0.59659,0.52416,0.47108,0.11271,2.63056,1.7749,1.53367,0.0012278,0.0012278,0.0012278
41,5338.91,1.81342,1.51503,1.27664,0.5167,0.52859,0.43498,0.1033,2.58423,1.6659,1.4998,0.001208,0.001208,0.001208
42,5465.74,1.81289,1.51314,1.28428,0.47919,0.5539,0.44702,0.10921,2.55263,1.66922,1.48985,0.0011882,0.0011882,0.0011882
43,5592.14,1.79981,1.48532,1.26422,0.51113,0.55762,0.44835,0.11189,2.7011,2.03411,1.57536,0.0011684,0.0011684,0.0011684
44,5724.99,1.82803,1.46819,1.27271,0.58013,0.54446,0.49247,0.13124,2.49363,1.57294,1.45397,0.0011486,0.0011486,0.0011486
45,5853.56,1.80888,1.47648,1.26785,0.51723,0.58736,0.43391,0.10356,2.63285,1.70514,1.50163,0.0011288,0.0011288,0.0011288
46,5980.88,1.78875,1.44806,1.26354,0.45358,0.50929,0.39636,0.0932,2.63697,2.09809,1.5309,0.001109,0.001109,0.001109
47,6107.36,1.77939,1.47025,1.26101,0.51369,0.50264,0.44067,0.11003,2.58567,1.78992,1.51522,0.0010892,0.0010892,0.0010892
48,6237.7,1.77031,1.45521,1.25122,0.5983,0.60352,0.54231,0.13546,2.46449,1.6531,1.44777,0.0010694,0.0010694,0.0010694
49,6361.07,1.77256,1.44916,1.25468,0.47862,0.48458,0.3872,0.08286,2.78024,1.77677,1.59514,0.0010496,0.0010496,0.0010496
50,6505.43,1.77461,1.42202,1.24001,0.57305,0.62869,0.55311,0.14147,2.47812,1.62794,1.46605,0.0010298,0.0010298,0.0010298
51,6639.27,1.7555,1.39786,1.23946,0.54024,0.60282,0.49818,0.12688,2.52823,1.63163,1.47233,0.00101,0.00101,0.00101
52,6774.85,1.76829,1.41143,1.24667,0.54346,0.54647,0.44832,0.11472,2.59048,1.7014,1.52082,0.0009902,0.0009902,0.0009902
53,6909.27,1.74985,1.40333,1.24244,0.43533,0.52416,0.36508,0.0843,2.65647,1.7323,1.51997,0.0009704,0.0009704,0.0009704
54,7062.87,1.74947,1.42151,1.2484,0.5796,0.60223,0.51769,0.1202,2.61864,1.61783,1.53556,0.0009506,0.0009506,0.0009506
55,7280,1.77115,1.43475,1.24815,0.5113,0.57249,0.44698,0.10418,2.66747,1.78498,1.5406,0.0009308,0.0009308,0.0009308
56,7411.93,1.75498,1.41343,1.24213,0.5119,0.5539,0.44255,0.10063,2.64787,2.25545,1.57346,0.000911,0.000911,0.000911
57,7539.69,1.75816,1.37239,1.24258,0.49048,0.55762,0.45076,0.09691,2.68985,1.77481,1.55325,0.0008912,0.0008912,0.0008912
58,7672.57,1.752,1.38794,1.24091,0.58558,0.62082,0.55879,0.17644,2.32383,1.69325,1.39254,0.0008714,0.0008714,0.0008714
59,7802.61,1.74799,1.41152,1.22663,0.5238,0.53976,0.43781,0.11258,2.59972,1.74233,1.50684,0.0008516,0.0008516,0.0008516
60,7927.1,1.7553,1.38673,1.23033,0.50726,0.5948,0.47587,0.1234,2.57683,1.69601,1.48753,0.0008318,0.0008318,0.0008318
